S_2_Municipality,S_3_EA,S_8_District,S_9_Subdistrict,S_10_Suco,EA_U_vs_R,Notes
1,10103022,Aileu,Aileu Vila,Fahiria,Rural,
1,10104012,Aileu,Aileu Vila,Fatubossa,Rural,
1,10104032,Aileu,Aileu Vila,Fatubossa,Rural,
1,10111042,Aileu,Aileu Vila,Suco Liurai,Rural,
2,20101051,Ainaro,Ainaro,Ainaro,Urban,minority in Rural
2,20103012,Ainaro,Ainaro,Manutaci,Rural,minority in Urban
2,20201072,Ainaro,Hato-Udo,Foho-Ai-Lico,Rural,
2,20202092,Ainaro,Hato-Udo,Leolima,Rural,
2,20202112,Ainaro,Hato-Udo,Leolima,Rural,
2,20408062,Ainaro,Maubisse,Maubisse,Rural,
4,30107042,Baucau,Baguia,Lavateri,Rural,
4,30201031,Baucau,Baucau,Bahu,Urban,
4,30203082,Baucau,Baucau,Buibau,Rural,
4,30208042,Baucau,Baucau,Sei??al,Rural,minority in Urban
4,30209121,Baucau,Baucau,Tirilolo,Urban,
4,30302012,Baucau,Laga,Libagua,Rural,
4,30303012,Baucau,Laga,Nunira,Rural,
4,30305042,Baucau,Laga,Sagadate,Rural,
4,30305082,Baucau,Laga,Sagadate,Rural,
4,30406022,Baucau,Quelicai,Guru????,Rural,
4,30602022,Baucau,Venilale,Baha Mori,Rural,
5,40101092,Bobonaro,Atabae,Aidabaleten,Rural,
5,40103022,Bobonaro,Atabae,Hataz,Rural,
5,40104062,Bobonaro,Atabae,Rairobo,Rural,
5,40203052,Bobonaro,Balibo,Cowa,Rural,
5,40205042,Bobonaro,Balibo,Leolima,Rural,
5,40303012,Bobonaro,Bobonaro,Bobonaro,Rural,
5,40403012,Bobonaro,Cailaco,Goulolo,Rural,
5,40604032,Bobonaro,Maliana,Raifun,Rural,
6,50101012,Covalima,Fatululic,Fatululic,Rural,
6,50203022,Covalima,Fatumean,Nanu,Rural,
6,50501092,Covalima,Suai,Beco,Rural,
6,50703042,Covalima,Zumalai,Lour,Rural,
6,50705062,Covalima,Zumalai,Raimea,Rural,
6,50708032,Covalima,Zumalai,Zulo,Rural,
3,60102042,Dili,Atauro,Biqueli,Rural,
3,60103042,Dili,Atauro,Macadade,Rural,
7,60201012,Dili,Cristo Rei,Balibar,Rural,minority in Urban
7,60202031,Dili,Cristo Rei,Becora,Urban,
7,60202131,Dili,Cristo Rei,Becora,Urban,
7,60202201,Dili,Cristo Rei,Becora,Urban,
7,60203071,Dili,Cristo Rei,Bidau Santana,Urban,
7,60204051,Dili,Cristo Rei,Camea,Urban,
7,60204101,Dili,Cristo Rei,Camea,Urban,
7,60204212,Dili,Cristo Rei,Camea,Rural,
7,60206081,Dili,Cristo Rei,Hera,Urban,
7,60301091,Dili,Dom Aleixo,Bairro Pite,Urban,
7,60301161,Dili,Dom Aleixo,Bairro Pite,Urban,
7,60301241,Dili,Dom Aleixo,Bairro Pite,Urban,
7,60301261,Dili,Dom Aleixo,Bairro Pite,Urban,
7,60301271,Dili,Dom Aleixo,Bairro Pite,Urban,
7,60301301,Dili,Dom Aleixo,Bairro Pite,Urban,
7,60301351,Dili,Dom Aleixo,Bairro Pite,Urban,
7,60301421,Dili,Dom Aleixo,Bairro Pite,Urban,
7,60302141,Dili,Dom Aleixo,Comoro,Urban,
7,60302201,Dili,Dom Aleixo,Comoro,Urban,
7,60302251,Dili,Dom Aleixo,Comoro,Urban,
7,60302301,Dili,Dom Aleixo,Comoro,Urban,
7,60302521,Dili,Dom Aleixo,Comoro,Urban,
7,60302641,Dili,Dom Aleixo,Comoro,Urban,
7,60402012,Dili,Metinaro,Sabuli,Rural,
7,60506031,Dili,Nain Feto,Santa Cruz,Urban,
7,60603022,Dili,Vera Cruz,Dare,Rural,
7,60604041,Dili,Vera Cruz,Lahane Ocidental,Urban,
7,60605021,Dili,Vera Cruz,Mascarenhas,Urban,
8,70109012,Ermera,Atsabe,Malabe,Rural,
8,70205032,Ermera,Ermera,Mertuto,Rural,minority in Urban
8,70207022,Ermera,Ermera,Ponilala,Rural,
8,70210031,Ermera,Ermera,Talimoro,Urban,minority in Rural
8,70305052,Ermera,Hatulia,Fatubolo,Rural,
8,70506042,Ermera,Railaco,Railaco Leten,Rural,
8,70509022,Ermera,Railaco,Tocoluli,Rural,
9,80203032,Lautem,Lautem,Daudere,Rural,
9,80301062,Lautem,Lospalos,Bauro,Rural,
9,80307032,Lautem,Lospalos,Lore 2,Rural,
9,80405022,Lautem,Luro,Luro,Rural,
9,80502042,Lautem,Tutuala,Tutuala,Rural,
10,90104032,Liquica,Bazartete,Leorema,Rural,
10,90106012,Liquica,Bazartete,Metagou,Rural,
10,90107012,Liquica,Bazartete,Motaulun,Rural,
10,90109042,Liquica,Bazartete,Ulmera,Rural,
10,90203061,Liquica,Liquica,Dato,Urban,
11,100204012,Manatuto,Laclo,Uma Naruc,Rural,
11,100301042,Manatuto,Laclubar,Batara,Rural,
11,100502011,Manatuto,Manatuto,Aiteas,Urban,
11,100602022,Manatuto,Soibada,Leo-Hat,Rural,
12,110102032,Manufahi,Alas,Dotik,Rural,
12,110105012,Manufahi,Alas,Uma Berloic,Rural,
12,110201032,Manufahi,Fatuberlio,Bubussuso,Rural,
12,110307012,Manufahi,Same,Rotuto,Rural,
13,120201032,Oecusse,Oesilo,Bobometo,Rural,
13,120201052,Oecusse,Oesilo,Bobometo,Rural,
13,120302081,Oecusse,Pante Macassar,Costa,Urban,
13,120308082,Oecusse,Pante Macassar,Taiboco,Rural,
13,120401032,Oecusse,Passabe,Abani,Rural,
13,120401132,Oecusse,Passabe,Abani,Rural,minority in Urban
14,130501032,Viqueque,Viqueque,Bahalarauain,Rural,minority in Urban
14,130502062,Viqueque,Viqueque,Bibileo,Rural,
14,130503031,Viqueque,Viqueque,Caraubalo,Urban,
14,130505072,Viqueque,Viqueque,Luca,Rural,
14,130509042,Viqueque,Viqueque,Uma Uain Craic,Rural,
14,130509062,Viqueque,Viqueque,Uma Uain Craic,Rural,
